SESEq
             [,1]       [,2]       [,3]        [,4]
 [37,] 0.15819639 0.26752561 0.19349528 0.009475834
 [38,] 0.15630144 0.26432218 0.19102573 0.009226374
 [39,] 0.15454432 0.26135141 0.18648157 0.008963619
 [40,] 0.13088681 0.24294992 0.18304801 0.008775422
 [41,] 0.12943177 0.24024873 0.17953625 0.008571536
 [42,] 0.12801702 0.23762387 0.17749465 0.008368916
 [43,] 0.12668785 0.23515701 0.17440306 0.008193397
 [44,] 0.12571026 0.23334120 0.17268425 0.007978563
 [45,] 0.12511048 0.21824156 0.16191032 0.007738967
 [46,] 0.12457984 0.21731640 0.15857630 0.007538498
 [47,] 0.12420500 0.21666291 0.15800936 0.007500450
 [48,] 0.12564123 0.21916969 0.16047689 0.007632868
 [49,] 0.12459881 0.21735163 0.15738926 0.007453961
 [50,] 0.12722195 0.22192581 0.15980811 0.007374079
 [51,] 0.13075493 0.22808927 0.16015776 0.007328011
 [52,] 0.12982094 0.21508440 0.15122716 0.007143517
 [53,] 0.12873477 0.21332259 0.14879489 0.007011336
 [54,] 0.12809692 0.21238683 0.14835657 0.006906780
 [55,] 0.12702060 0.21061810 0.14606265 0.006780133
 [56,] 0.12597093 0.20884867 0.14471170 0.006656021
 [57,] 0.11132059 0.19810482 0.14286241 0.006568403
 [58,] 0.11085928 0.19715514 0.14149686 0.006470769
 [59,] 0.11115708 0.19787795 0.14239781 0.006433827
 [60,] 0.11385012 0.20243018 0.14601798 0.006560274
 [61,] 0.11231054 0.19164118 0.13871749 0.006420513
 [62,] 0.11163027 0.19049864 0.13665420 0.006305756
 [63,] 0.11085607 0.18915942 0.13565742 0.006213945
 [64,] 0.11025154 0.18812809 0.13459167 0.006153059
 [65,] 0.11032607 0.18830530 0.13457968 0.006068338
 [66,] 0.11006419 0.18780872 0.13401485 0.006025476
 [67,] 0.10987630 0.18330915 0.13190080 0.006115326
 [68,] 0.10943572 0.18257412 0.13005848 0.006008486
 [69,] 0.10901243 0.18186758 0.12968936 0.005968351
 [70,] 0.10835497 0.18077108 0.12847144 0.005900515
 [71,] 0.10779061 0.17983180 0.12787778 0.005845463
 [72,] 0.10724071 0.17891459 0.12692797 0.005791756
 [73,] 0.10798760 0.18015618 0.12743728 0.005724414
 [74,] 0.10770707 0.17968843 0.12705275 0.005699411
 [75,] 0.10771693 0.17300887 0.12206796 0.005598030
 [76,] 0.09807523 0.16688276 0.12125987 0.005605566
 [77,] 0.09830736 0.16727788 0.12175349 0.005624900
 [78,] 0.09875431 0.16803877 0.12197810 0.005554766
 [79,] 0.09874910 0.16802996 0.12069838 0.005476002
 [80,] 0.09817129 0.16704679 0.11993088 0.005400200
 [81,] 0.09777292 0.16636903 0.11925128 0.005360992
 [82,] 0.09709388 0.16164398 0.11649820 0.005367099
 [83,] 0.09673544 0.16104737 0.11588952 0.005332083
 [84,] 0.09636175 0.16042545 0.11530267 0.005255141
 [85,] 0.09624864 0.16023708 0.11412595 0.005184458
 [86,] 0.09656786 0.16086792 0.11472373 0.005164737
 [87,] 0.09643729 0.16072997 0.11397037 0.005127788
 [88,] 0.09596988 0.15991609 0.11298879 0.005069308
 [89,] 0.09580424 0.15971386 0.11297471 0.005031004
 [90,] 0.09524454 0.15431876 0.10934029 0.004975793
 [91,] 0.09607900 0.15580578 0.10965063 0.004994661
 [92,] 0.09564247 0.15512591 0.10920669 0.004942369
 [93,] 0.09522742 0.15441592 0.10833868 0.004889486
 [94,] 0.08805924 0.14986094 0.10756525 0.004878758
 [95,] 0.08825813 0.15029438 0.10805775 0.004864235
 [96,] 0.08781521 0.14953609 0.10709604 0.004810787
 [97,] 0.08708108 0.14470910 0.10392826 0.004763410
 [98,] 0.08697065 0.14458467 0.10330216 0.004732572
 [99,] 0.08664030 0.14406730 0.10297895 0.004688391
[100,] 0.08645710 0.14370722 0.10243905 0.004649329
[101,] 0.08604432 0.14302088 0.10192805 0.004601195
[102,] 0.08575291 0.14257135 0.10116059 0.004561616
[103,] 0.08563429 0.14231389 0.10073368 0.004527931
[104,] 0.08526730 0.14172116 0.10032939 0.004484454
[105,] 0.08523413 0.13793224 0.09775183 0.004451800
[106,] 0.08486941 0.13735544 0.09696247 0.004409762
[107,] 0.08525216 0.13788524 0.09711754 0.004402687
[108,] 0.08514212 0.13775777 0.09658510 0.004376313
[109,] 0.08480460 0.13718949 0.09590302 0.004335752
[110,] 0.08455982 0.13682792 0.09570354 0.004301996
[111,] 0.08578164 0.13748126 0.09652215 0.004416317
[112,] 0.08542125 0.13689161 0.09580248 0.004375101
[113,] 0.08147852 0.13632833 0.09663095 0.004472273
[114,] 0.08139063 0.13623119 0.09665175 0.004446804
[115,] 0.08109642 0.13571448 0.09600908 0.004407539
[116,] 0.08078508 0.13520830 0.09566514 0.004369771
[117,] 0.08079966 0.13517088 0.09544611 0.004346347
[118,] 0.08106408 0.13568929 0.09536012 0.004343172
[119,] 0.08134591 0.13607757 0.09544682 0.004334440
[120,] 0.08121280 0.13401016 0.09429122 0.004353549
[121,] 0.08102340 0.13366001 0.09381821 0.004321184
[122,] 0.08196332 0.13531753 0.09520005 0.004354935
[123,] 0.08178917 0.13506636 0.09465679 0.004327158
[124,] 0.08189255 0.13517069 0.09457194 0.004310026
[125,] 0.08162053 0.13469878 0.09417661 0.004275345
[126,] 0.08153068 0.13164311 0.09211520 0.004247149
[127,] 0.08123736 0.13115510 0.09152288 0.004212298
[128,] 0.08095605 0.13068438 0.09114226 0.004178457
[129,] 0.08090529 0.13064718 0.09075783 0.004159507
[130,] 0.08065922 0.13022675 0.09040117 0.004128097
[131,] 0.08070092 0.13034632 0.09012155 0.004114681
[132,] 0.07598647 0.12702303 0.08996442 0.004087460
[133,] 0.07578193 0.12665454 0.08950172 0.004057929
[134,] 0.07711483 0.12900293 0.09139408 0.004116196
[135,] 0.07665547 0.12598616 0.08940738 0.004086753
[136,] 0.07639393 0.12554461 0.08886422 0.004055175
[137,] 0.07645619 0.12569791 0.08906571 0.004043556
[138,] 0.07700477 0.12651642 0.08956152 0.004051924
[139,] 0.07674915 0.12610563 0.08901141 0.004022547
[140,] 0.07673628 0.12612862 0.08910785 0.004007090
[141,] 0.07654702 0.12584082 0.08862503 0.003982290
[142,] 0.07648213 0.12432862 0.08776914 0.003999792
[143,] 0.07622688 0.12390586 0.08743996 0.003970287
[144,] 0.07602286 0.12355265 0.08700165 0.003943039
[145,] 0.07611359 0.12364798 0.08694563 0.003930127
[146,] 0.07585923 0.12323460 0.08664151 0.003901662
[147,] 0.07572687 0.12304784 0.08623635 0.003881250
[148,] 0.07549704 0.12268519 0.08599207 0.003855103
[149,] 0.07519430 0.12069776 0.08474171 0.003850137
[150,] 0.07532644 0.12095883 0.08461176 0.003844558
[151,] 0.07230856 0.12004394 0.08489557 0.003892109
[152,] 0.07276941 0.12073656 0.08522242 0.003899643
[153,] 0.07253700 0.12034939 0.08473859 0.003872524
[154,] 0.07279885 0.12072325 0.08491010 0.003869470
[155,] 0.07267824 0.12049339 0.08467650 0.003847790
[156,] 0.07307586 0.12121869 0.08485553 0.003857729
[157,] 0.07278755 0.11930343 0.08367616 0.003852965
[158,] 0.07258058 0.11897387 0.08345446 0.003828554
[159,] 0.07239735 0.11865593 0.08306407 0.003804341
[160,] 0.07223874 0.11841487 0.08266228 0.003783452
[161,] 0.07254623 0.11885926 0.08283463 0.003783940
[162,] 0.07242786 0.11863810 0.08254041 0.003763355
[163,] 0.07232237 0.11849101 0.08248100 0.003745798
[164,] 0.07196550 0.11626981 0.08102475 0.003724684
[165,] 0.07203399 0.11633801 0.08096581 0.003713404
[166,] 0.07188665 0.11607911 0.08064182 0.003692286
[167,] 0.07170772 0.11580276 0.08046577 0.003670966
[168,] 0.07158266 0.11562198 0.08011966 0.003653228
[169,] 0.06820583 0.11324844 0.07998886 0.003633848
[170,] 0.06888632 0.11445194 0.08097957 0.003660526
[171,] 0.06878209 0.11430162 0.08065181 0.003643863
[172,] 0.06854177 0.11220422 0.07924561 0.003622531
[173,] 0.06861506 0.11228363 0.07920770 0.003612961
[174,] 0.06842398 0.11196634 0.07881831 0.003590831
[175,] 0.06824525 0.11168122 0.07843286 0.003570202
[176,] 0.06825412 0.11172787 0.07852457 0.003560246
[177,] 0.06847184 0.11203512 0.07866780 0.003557968
[178,] 0.06909580 0.11312335 0.07956435 0.003581441
[179,] 0.06887666 0.11115615 0.07823448 0.003561260
[180,] 0.06889964 0.11115859 0.07813750 0.003549579
[181,] 0.06910527 0.11153512 0.07814994 0.003551122
[182,] 0.06897995 0.11135000 0.07804712 0.003534166
[183,] 0.06900510 0.11142323 0.07787466 0.003526027
[184,] 0.06908899 0.11151955 0.07785109 0.003517974
[185,] 0.06904449 0.11141904 0.07767867 0.003503693
[186,] 0.06877701 0.10956629 0.07643488 0.003484951
[187,] 0.06880192 0.10963687 0.07654097 0.003476795
[188,] 0.06862985 0.10936778 0.07618825 0.003457844
[189,] 0.06574117 0.10737651 0.07620701 0.003442916
[190,] 0.06588067 0.10756399 0.07626754 0.003438103
[191,] 0.06571355 0.10728684 0.07605309 0.003418920
[192,] 0.06654520 0.10871572 0.07677668 0.003455182
[193,] 0.06638153 0.10844194 0.07656123 0.003436289
[194,] 0.06654733 0.10866975 0.07665697 0.003432876
[195,] 0.06682512 0.10840294 0.07662667 0.003467359
[196,] 0.06666043 0.10813105 0.07629594 0.003448628
[197,] 0.06729575 0.10922506 0.07719444 0.003473740
[198,] 0.06731929 0.10929373 0.07703693 0.003466405
[199,] 0.06716929 0.10905848 0.07688011 0.003449115
[200,] 0.06766898 0.10992827 0.07723626 0.003467556
[201,] 0.06741003 0.10840553 0.07624608 0.003457519
[202,] 0.06745598 0.10851049 0.07611530 0.003451630
[203,] 0.06758076 0.10867216 0.07613852 0.003446790
[204,] 0.06755295 0.10865231 0.07593548 0.003436965
[205,] 0.06761383 0.10878289 0.07608640 0.003431742
[206,] 0.06756284 0.10872338 0.07586320 0.003420765
[207,] 0.06498810 0.10714144 0.07561770 0.003418554
[208,] 0.06483513 0.10689024 0.07543472 0.003401238
[209,] 0.06489946 0.10696217 0.07541479 0.003393814
[210,] 0.06481896 0.10597719 0.07483895 0.003400583
[211,] 0.06482160 0.10595364 0.07474175 0.003390313
[212,] 0.06490345 0.10605318 0.07473163 0.003384167
[213,] 0.06489943 0.10601925 0.07462788 0.003373707
[214,] 0.06480425 0.10587895 0.07455357 0.003360381
[215,] 0.06479430 0.10588755 0.07438199 0.003352099
[216,] 0.06462105 0.10434928 0.07333704 0.003336061
[217,] 0.06455032 0.10421597 0.07315232 0.003322851
[218,] 0.06481023 0.10459214 0.07331714 0.003325840
[219,] 0.06489574 0.10476142 0.07324825 0.003323036
[220,] 0.06485150 0.10466785 0.07312937 0.003311360
[221,] 0.06470748 0.10443588 0.07284213 0.003295557
[222,] 0.06464723 0.10431856 0.07271177 0.003283366
[223,] 0.06495109 0.10485310 0.07287808 0.003292394
[224,] 0.06503186 0.10431772 0.07261394 0.003310129
[225,] 0.06503892 0.10435356 0.07246902 0.003303282
[226,] 0.06296554 0.10335090 0.07241079 0.003316029
[227,] 0.06284167 0.10315422 0.07228022 0.003301410
[228,] 0.06321944 0.10372564 0.07265257 0.003310750
[229,] 0.06327944 0.10385281 0.07279534 0.003306721
[230,] 0.06466058 0.10603328 0.07436503 0.003366656
[231,] 0.06447460 0.10456757 0.07337800 0.003351198
[232,] 0.06435679 0.10438482 0.07311293 0.003337264
[233,] 0.06434512 0.10438855 0.07315681 0.003329291
[234,] 0.06447812 0.10463817 0.07314756 0.003329602
[235,] 0.06449001 0.10463094 0.07308022 0.003321184
[236,] 0.06470407 0.10501725 0.07315836 0.003325936
[237,] 0.06488953 0.10527901 0.07329959 0.003325772
[238,] 0.06476508 0.10508301 0.07316871 0.003311661
[239,] 0.06454332 0.10377810 0.07231539 0.003300905
[240,] 0.06441087 0.10356504 0.07205281 0.003286343
[241,] 0.06463677 0.10388828 0.07218790 0.003288604
[242,] 0.06451446 0.10369719 0.07193203 0.003274934
[243,] 0.06438357 0.10348633 0.07177851 0.003260665
[244,] 0.06493467 0.10442610 0.07221681 0.003283352
[245,] 0.06269905 0.10285284 0.07206896 0.003270397
[246,] 0.06299911 0.10338773 0.07225234 0.003280399
[247,] 0.06290451 0.10207330 0.07135736 0.003266686
[248,] 0.06287549 0.10204548 0.07137253 0.003258326
[249,] 0.06277244 0.10186798 0.07115923 0.003245079
[250,] 0.06264952 0.10166574 0.07100604 0.003231236


SESEq[251:500,]
             [,1]       [,2]       [,3]        [,4]
  [1,] 0.06258860 0.10154999 0.07085048 0.003220003
  [2,] 0.06254223 0.10145622 0.07071515 0.003209566
  [3,] 0.06247587 0.10136303 0.07067409 0.003199448
  [4,] 0.06244516 0.10068144 0.07028730 0.003207389
  [5,] 0.06239761 0.10062096 0.07010889 0.003198543
  [6,] 0.06238303 0.10057627 0.07002761 0.003189895
  [7,] 0.06264374 0.10103479 0.07017011 0.003197873
  [8,] 0.06259135 0.10096587 0.06999042 0.003188915
  [9,] 0.06290337 0.10151057 0.07044677 0.003199262
 [10,] 0.06307194 0.10181616 0.07049390 0.003202378
 [11,] 0.06330524 0.10173222 0.07054077 0.003229337
 [12,] 0.06318604 0.10153929 0.07039839 0.003216203
 [13,] 0.06350379 0.10209106 0.07060034 0.003227258
 [14,] 0.06187797 0.10148634 0.07065237 0.003246589
 [15,] 0.06186208 0.10143925 0.07057004 0.003238042
 [16,] 0.06177344 0.10128272 0.07038141 0.003225939
 [17,] 0.06174240 0.10124946 0.07022563 0.003218252
 [18,] 0.06183510 0.10143010 0.07040391 0.003217266
